Implementation,Function,count,mean,std,min,25%,50%,75%,max
Python,arithmetic_operations,1.0,0.9220745025499127,,0.9220745025499127,0.9220745025499127,0.9220745025499127,0.9220745025499127,0.9220745025499127
Python,file_io,1.0,0.6441275777498958,,0.6441275777498958,0.6441275777498958,0.6441275777498958,0.6441275777498958,0.6441275777498958
Python,list_manipulation,1.0,0.0446678538004562,,0.0446678538004562,0.0446678538004562,0.0446678538004562,0.0446678538004562,0.0446678538004562
Python,number_to_name,1.0,3.141479531949881,,3.141479531949881,3.141479531949881,3.141479531949881,3.141479531949881,3.141479531949881
Python,string_processing,1.0,0.5851714403503138,,0.5851714403503138,0.5851714403503138,0.5851714403503138,0.5851714403503138,0.5851714403503138
Rust,arithmetic_operations,1.0,0.4203503473505406,,0.4203503473505406,0.4203503473505406,0.4203503473505406,0.4203503473505406,0.4203503473505406
Rust,file_io,1.0,2.326563683299537,,2.326563683299537,2.326563683299537,2.326563683299537,2.326563683299537,2.326563683299537
Rust,list_manipulation,1.0,0.0674991886495263,,0.0674991886495263,0.0674991886495263,0.0674991886495263,0.0674991886495263,0.0674991886495263
Rust,number_to_name,1.0,6.438903213350568,,6.438903213350568,6.438903213350568,6.438903213350568,6.438903213350568,6.438903213350568
Rust,string_processing,1.0,4.532509972499975,,4.532509972499975,4.532509972499975,4.532509972499975,4.532509972499975,4.532509972499975
